,Unnamed: 0,rating,id,date,flag,user,text,tidy_tweet
0,894059,1,1692137234,Sun May 03 19:21:16 PDT 2009,NO_QUERY,cariquinn,@NZSoulGirl Hey there! Yum...sangria! And snorkeling sounds amazing. Glad you're having fun! ,hey snorkel sound amaze glad fun
1,1467016,1,2064555259,Sun Jun 07 06:35:08 PDT 2009,NO_QUERY,Nigel_Derbyfan,Enjoyed that. Now for Sunday dinner ,enjoy sunday dinner
2,1150195,1,1978427680,Sat May 30 23:19:31 PDT 2009,NO_QUERY,YoungmoneyReef,"show was awesome vegas, u made the last night of tour memorable ",show awesome vega make last night tour memorable
3,1274449,1,2000971003,Mon Jun 01 23:28:13 PDT 2009,NO_QUERY,DoreenCotinola,@DKA34 Damon welcome to twitter Nation!  ,damon welcome twitter nation
4,620938,0,2228589656,Thu Jun 18 14:37:57 PDT 2009,NO_QUERY,tmac_82,@teemwilliams &amp; @dc3plusme: I thought I found mine but he left me for a guy he thought was better for him  twitter.com/tmac_82,think find mine leave guy think well
5,97869,0,1793113807,Thu May 14 01:25:34 PDT 2009,NO_QUERY,loriblack,I actually said to myself at the time &quot;If this is right I will eat my hat&quot;. Guess I'm going to find a hat. Metabolism ,actually say time right eat hat guess find hat metabolism
6,871296,1,1678631867,Sat May 02 07:17:42 PDT 2009,NO_QUERY,alivingletter,Trying to figure out how my husband is twittering during his class! This proves just how A.D.D. he really is! Gotta love him  &lt;&gt;&lt;,try figure husband twitter class prove add really got ta
7,434612,0,2065234042,Sun Jun 07 08:10:31 PDT 2009,NO_QUERY,heidiprice,@tealou Am getting very cranking with not falling preggs  been trying for 7 months. i used to only have to think about it and I was preg,crank fall press try 7 month use think prep
8,1218909,1,1989882933,Mon Jun 01 03:08:28 PDT 2009,NO_QUERY,Breezie7,@faydra_deon back from the gym already? I am still trying to get myself to bed  have a great week,back gym already still try bed great week
9,124871,0,1834202286,Mon May 18 02:01:22 PDT 2009,NO_QUERY,sparkked,"just realised his physics is cancelled today, and so could have got up an hour later! ",realise physic cancel today could hour later
10,1326192,1,2015231994,Wed Jun 03 04:05:19 PDT 2009,NO_QUERY,andrae_robinson,@khoward42 your coming oh so close to my area ! Have a great trip bro talk with ya soon ,come oh close area great trip bro talk ya soon
11,1337900,1,2017842603,Wed Jun 03 09:02:12 PDT 2009,NO_QUERY,adnanschat,@frozenblueeyes my pleasure! ,pleasure
12,870162,1,1678312646,Sat May 02 06:17:27 PDT 2009,NO_QUERY,LilOne1223,@EddieBaseball LOL I was just thinking that ,lol think
13,670556,0,2246598902,Fri Jun 19 17:50:26 PDT 2009,NO_QUERY,belindaaaaaa,Its so overcast today ,overcast today
14,864190,1,1677243442,Sat May 02 01:06:22 PDT 2009,NO_QUERY,Sweetpea7268,im on late i know just stoppen in im off tho to eat and play my sims  Night Twitterville,late know stop tho eat play sims night
15,1318518,1,2014381014,Wed Jun 03 01:20:26 PDT 2009,NO_QUERY,blondythinkinq,I havee noe idea whaat too do.. This all new too mee.! !  lol.,noe idea new mee lol
16,805592,1,1468684408,Tue Apr 07 03:09:09 PDT 2009,NO_QUERY,TommyMcLaughlin,@TheGazzMan you will be giving Parkesy a run for his money 700 good stuff ,give park run money 700 stuff
17,755962,0,2288504738,Mon Jun 22 19:14:55 PDT 2009,NO_QUERY,Tarapart,Counting down the hours till I get to see HIM. 3/30 am...five hours away.  I should take a nap I think. And I hope I get flowers.,count hour till see 330 five hour away take nap think hope flower
18,823561,1,1556013761,Sat Apr 18 21:22:11 PDT 2009,NO_QUERY,louiselinh,@jack_barakat Tell me if it's a good read. ,tell read
19,1503394,1,2071947790,Sun Jun 07 20:09:07 PDT 2009,NO_QUERY,dancingnancy214,@DaveJMatthews I love rain...and I LOVE the new album! Great work; Thank you ,rain new album great thank
20,725530,0,2262344085,Sat Jun 20 22:19:56 PDT 2009,NO_QUERY,shathali,@bridgetmcmanus You must be shitting me?!!!!!!! ,must shit
21,119335,0,1828022256,Sun May 17 11:55:54 PDT 2009,NO_QUERY,detxuh,you confusse me ,confuse
